18385,30-Apr-2012,France,Quality Assurance,Actual,Vehicles,32.67
18386,30-Apr-2012,France,Quality Assurance,Actual,Equipment,3.95
18387,30-Apr-2012,France,Quality Assurance,Actual,Furniture and Fixtures,11.4
18388,30-Apr-2012,France,Quality Assurance,Actual,Other Assets,9.27
18389,30-Apr-2012,France,Quality Assurance,Actual,Amortization of Goodwill,9.27
18390,30-Apr-2012,France,Quality Assurance,Actual,Rent,48.63
18391,30-Apr-2012,France,Quality Assurance,Actual,Interest Income,17.78
18392,30-Apr-2012,France,Quality Assurance,Actual,Interest Expense,26.29
18393,30-Apr-2012,France,Quality Assurance,Actual,Gain/Loss on Sales of Asset,-19.45
18394,30-Apr-2012,France,Quality Assurance,Actual,Other Income,35.87
18395,30-Apr-2012,France,Quality Assurance,Actual,Taxes,9.27
18396,30-Apr-2012,France,Quality Assurance,Actual,Headcount,1
18397,30-Apr-2012,France,Research and Development,Actual,Intercompany Sales,19370.27
18398,30-Apr-2012,France,Research and Development,Actual,Returns and Adjustments,10896.71
18399,30-Apr-2012,France,Research and Development,Actual,Discounts,53.95
18400,30-Apr-2012,France,Research and Development,Actual,Standard Cost of Sales,46920.78
18401,30-Apr-2012,France,Research and Development,Actual,Variances,18159.61
18402,30-Apr-2012,France,Research and Development,Actual,Salaries,13869.1
18403,30-Apr-2012,France,Research and Development,Actual,Payroll Taxes,1139.08
18404,30-Apr-2012,France,Research and Development,Actual,Employee Benefits,996.52
18405,30-Apr-2012,France,Research and Development,Actual,Commissions,2422.08
18406,30-Apr-2012,France,Research and Development,Actual,Travel Transportation,128.42
18407,30-Apr-2012,France,Research and Development,Actual,Travel Lodging,116.72
18408,30-Apr-2012,France,Research and Development,Actual,Meals,60.33
18409,30-Apr-2012,France,Research and Development,Actual,Entertainment,45.44
18410,30-Apr-2012,France,Research and Development,Actual,Other Travel Related,13.53
18411,30-Apr-2012,France,Research and Development,Actual,Conferences,19.91
18412,30-Apr-2012,France,Research and Development,Actual,Marketing Collateral,243.32
18413,30-Apr-2012,France,Research and Development,Actual,Office Supplies,86.93
18414,30-Apr-2012,France,Research and Development,Actual,Professional Services,174.17
18415,30-Apr-2012,France,Research and Development,Actual,Telephone,1053.97
18416,30-Apr-2012,France,Research and Development,Actual,Utilities,188
18417,30-Apr-2012,France,Research and Development,Actual,Other Expenses,61.4
18418,30-Apr-2012,France,Research and Development,Actual,Building Leasehold,222.04
18419,30-Apr-2012,France,Research and Development,Actual,Vehicles,138
18420,30-Apr-2012,France,Research and Development,Actual,Equipment,14.59
18421,30-Apr-2012,France,Research and Development,Actual,Furniture and Fixtures,48.63
18422,30-Apr-2012,France,Research and Development,Actual,Other Assets,42.25
18423,30-Apr-2012,France,Research and Development,Actual,Amortization of Goodwill,39.06
18424,30-Apr-2012,France,Research and Development,Actual,Rent,192.25
18425,30-Apr-2012,France,Research and Development,Actual,Interest Income,81.61
18426,30-Apr-2012,France,Research and Development,Actual,Interest Expense,125.23
18427,30-Apr-2012,France,Research and Development,Actual,Gain/Loss on Sales of Asset,-99.24
18428,30-Apr-2012,France,Research and Development,Actual,Other Income,166.72
18429,30-Apr-2012,France,Research and Development,Actual,Taxes,8791.35
18430,30-Apr-2012,France,Research and Development,Actual,Headcount,4
18431,30-Apr-2012,France,Research and Development,Actual,Units,565
18432,30-Apr-2012,France,Research and Development,Actual,Square Footage,27000
18433,30-Apr-2012,France,Research and Development,Actual,Trade Sales,242139.31
18434,30-Apr-2012,France,Sales and Marketing,Actual,Cash,439350.43
18435,30-Apr-2012,France,Sales and Marketing,Actual,Trade Receivables,259384.32
18436,30-Apr-2012,France,Sales and Marketing,Actual,Other Receivables,9165.82
18437,30-Apr-2012,France,Sales and Marketing,Actual,Allowance for Bad Debt,5188.09
18438,30-Apr-2012,France,Sales and Marketing,Actual,Deferred Taxes,37351.46
18439,30-Apr-2012,France,Sales and Marketing,Actual,Prepaid Expenses,23603.33
18440,30-Apr-2012,France,Sales and Marketing,Actual,Intercompany Receivables,54470.92
18441,30-Apr-2012,France,Sales and Marketing,Actual,Land & Improvements,3795.51
18442,30-Apr-2012,France,Sales and Marketing,Actual,Buildings & Improvements,12093.54
18443,30-Apr-2012,France,Sales and Marketing,Actual,Machinery & Equipment,3415.72
18444,30-Apr-2012,France,Sales and Marketing,Actual,Office Furniture & Equipment,44538.82
18445,30-Apr-2012,France,Sales and Marketing,Actual,Leasehold Improvements,3288.05
18446,30-Apr-2012,France,Sales and Marketing,Actual,Construction In Progress,1358.23
18447,30-Apr-2012,France,Sales and Marketing,Actual,Other Assets,6954.08
18448,30-Apr-2012,France,Sales and Marketing,Actual,Notes Payable,5540.22
18449,30-Apr-2012,France,Sales and Marketing,Actual,Accounts Payable,57466.72
18450,30-Apr-2012,France,Sales and Marketing,Actual,Salary & Other Comp,41094.08
18451,30-Apr-2012,France,Sales and Marketing,Actual,Insurance,8699.86
18452,30-Apr-2012,France,Sales and Marketing,Actual,Warranties,6853.01
18453,30-Apr-2012,France,Sales and Marketing,Actual,Intercompany Payables,17067.03
18454,30-Apr-2012,France,Sales and Marketing,Actual,Other Current Liabilities,48496.34
18455,30-Apr-2012,France,Sales and Marketing,Actual,Long Term Obligations,42238.78
18456,30-Apr-2012,France,Sales and Marketing,Actual,Pension Liability,9047.74
18457,30-Apr-2012,France,Sales and Marketing,Actual,Other Retirement Benefits,42900.49
18458,30-Apr-2012,France,Sales and Marketing,Actual,Other Long Term Liabilities,8084.95
18459,30-Apr-2012,France,Sales and Marketing,Actual,Additional Paid In Capital,438943.52
18460,30-Apr-2012,France,Sales and Marketing,Actual,Current Retained Earnings,257745.16
18461,30-Apr-2012,France,Sales and Marketing,Actual,Current Installments of Long-term Debt,6142.36
18462,30-Apr-2012,Germany,Corporate,Actual,Salaries,2291.23
